tier,n_experiments,running_mean
T0,1,0.9583333333333334
T0,2,0.9305555555555556
T0,3,0.9351851851851851
T1,1,1.0
T1,2,0.9666666666666667
T1,3,0.9666666666666667
T2,1,1.0
T2,2,0.9777777777777779
T2,3,0.9777777777777779
T3,1,1.0
T3,2,0.983739837398374
T3,3,0.975609756097561
T4,1,1.0
T4,2,0.9880952380952381
T4,3,0.9761904761904763
T5,1,1.0
T5,2,0.9777777777777779
T5,3,0.9629629629629631
T6,1,1.0
T6,2,1.0
T6,3,1.0
