judge_x,judge_y,spearman,pearson
Judge 1,Judge 2,0.3333333333333333,0.7055336829505561
Judge 1,Judge 3,-0.2732971972499743,-0.06261215945196923
Judge 2,Judge 3,-0.521749194749951,-0.3467420979642729
